LR.Index	CellChat	CytoTalk	celltalkdb
Ccl27b_Ackr2	0	1	0
Ccl27b_Ccr10	1	1	1
Ccl27b_Ccr2	1	0	0
Ccl27b_Ccr3	1	0	0
Ccl28_Ackr2	0	1	1
Ccl28_Ccr10	1	1	1
Ccl28_Ccr3	1	1	1
Ccl2_Ackr1	1	0	1
Ccl2_Ackr2	1	1	1
Ccl2_Ackr4	0	1	0
Ccl2_Ccr1	0	1	0
Ccl2_Ccr10	0	1	0
Ccl2_Ccr2	1	1	1
Ccl2_Ccr3	0	1	0
Ccl2_Ccr4	0	1	1
Ccl2_Ccr5	0	1	0
Ccl3_Ackr2	1	1	1
Ccl3_Ccr1	1	1	1
Ccl3_Ccr1l1	1	0	0
Ccl3_Ccr3	0	1	1
Ccl3_Ccr4	0	1	0
Ccl3_Ccr5	1	1	1
Ccl4_Ackr2	1	1	1
Ccl4_Ccr1	0	1	1
Ccl4_Ccr3	0	1	1
Ccl4_Ccr5	1	1	1
Ccl4_Ccr8	0	1	1
Ccl5_Ackr1	1	0	1
Ccl5_Ackr2	1	1	1
Ccl5_Ackr4	0	1	1
Ccl5_Ccr1	1	1	1
Ccl5_Ccr1l1	1	0	0
Ccl5_Ccr3	1	1	1
Ccl5_Ccr4	1	1	1
Ccl5_Ccr5	1	1	1
Ccl5_Ccrl2	0	0	1
Ccl5_Cxcr3	0	1	0
Ccl5_Gpr75	0	1	1
Ccl5_Sdc1	0	1	0
Ccl5_Sdc4	0	1	0
Ccl6_Ccr1	1	0	1
Ccl6_Ccr1l1	1	0	0
Ccl6_Ccr2	1	0	0
Ccl6_Ccr3	1	0	0
Ccl7_Ackr1	1	0	0
Ccl7_Ackr2	0	1	0
Ccl7_Ackr4	0	1	0
Ccl7_Ccr1	1	1	1
Ccl7_Ccr10	0	1	1
Ccl7_Ccr1l1	1	0	0
Ccl7_Ccr2	1	1	1
Ccl7_Ccr3	1	1	1
Ccl7_Ccr5	0	1	1
Ccl7_Cxcr3	0	1	1
Ccl8_Ackr1	1	0	0
Ccl8_Ackr4	1	0	0
Ccl8_Ccr1	1	0	1
Ccl8_Ccr1l1	1	0	0
Ccl8_Ccr2	1	0	1
Ccl8_Ccr3	0	0	1
Ccl8_Ccr5	1	0	1
Ccl8_Ccr8	0	0	1
Ccl9_Ccr1	1	0	1
Ccl9_Ccr1l1	1	0	0
Ccn1_Itgam	0	0	1
Ccn1_Itgav	0	0	1
Ccn1_Itgb2	0	0	1
Ccn1_Tlr2	0	0	1
Ccn2_Egfr	0	0	1
Ccn2_Fgfr2	0	0	1
Ccn2_Itga5	0	0	1
Ccn2_Itgam	0	0	1
Ccn2_Lrp1	0	0	1
Ccn2_Lrp6	0	0	1
Ccn2_Ntrk1	0	0	1
Ccn3_Notch1	0	0	1
Cd14_C3ar1	0	0	1
Cd14_Cd55	0	0	1
Cd14_Itga4	0	1	1
Cd14_Itgb1	0	1	1
Cd14_Itgb2	0	0	1
Cd14_Ly96	0	0	1
Cd14_Tlr2	0	0	1
Cd14_Tlr3	0	0	1
Cd14_Tlr4	0	0	1
Cd14_Tlr9	0	0	1
Cd160_Tnfrsf14	0	0	1
Cd1d1_Ceacam5	1	0	0
Cd1d2_Pira2	1	0	0
Cd200_Cd200r1	1	0	1
Cd200_Cd200r2	1	0	1
Cd200_Cd200r3	1	0	0
Cd200_Cd200r4	1	0	0
Cd209a_Ceacam1	1	0	0
Cd226_Nectin2	1	0	0
Cd226_Pvr	1	0	0
Cd22_Ptprc	1	0	0
Cd24a_Selp	0	1	1
Cd274_Cd80	0	1	1
Cd274_Pdcd1	1	1	1
Cd34_Sell	0	1	1
Cd34_Selp	1	0	0
Cd40lg_Cd40	1	1	1
Cd40lg_Itga2b	1	0	0
Cd40lg_Itga5	1	0	0
Cd40lg_Itgam	1	0	0
Cd40lg_Itgb1	1	0	0
Cd40lg_Itgb2	1	0	0
Cd40lg_Itgb3	1	0	0
Cd40lg_Traf1	0	0	1
Cd40lg_Traf2	0	0	1
Cd40lg_Traf3	0	0	1
Cd46_Jag1	1	0	0
Cd48_Cd2	0	1	0
Cd48_Cd244a	1	1	0
Cd52_Siglecg	1	0	0
Cd5l_Cd5	0	1	0
Cd6_Alcam	1	0	1
Cd70_Cd27	1	1	1
Cd80_Cd274	1	0	0
Cd80_Cd28	1	1	0
Cd80_Ctla4	1	1	0
Cd84_Cd84	0	1	0
Cd86_Cd28	1	1	1
Cd86_Ctla4	1	1	0
Cd8a_Ceacam5	1	0	0
Cd96_Nectin1	1	0	0
Cd96_Pvr	1	0	0
Cd99_Cd99	1	0	0
Cd99_Pilra	1	0	0
Cdh15_Cdh15	1	0	0
Cdh1_Cdh1	1	0	0
Cdh1_Egfr	0	1	1
Cdh1_Fgfr1	0	0	1
